Time (UTC) , i value , j value , latitude , longitude ," u (west to east wind, m/s) "," v (south to north wind, m/s) ", temperature (C) , relative humidity (%) , vertical velocity (cm/s) , pressure (mb) , water vapor  (g/kg) , turbulent kinetic energy (m^2/s^2) , precipitation rate (mm/hr), sensible heat flux (W/m^2) , Latent heat flux (W/m^2) , tracer concentration,leakage,classify_pred,regression_pred
17.1,35,32,33.245,-81.657,3.69818,0.96393,14.30201,38.18646,-2.54777,991.54193,3.97278,0.70387,0,208.9614,1.65824,0.0,0,0,0.0
17.1,79,11,33.224,-81.613,3.66118,0.61765,14.71649,36.83393,13.32491,991.57111,3.93776,0.95257,0,334.46979,0.46013,0.0,0,0,0.0
17.1,67,55,33.268,-81.625,3.35923,0.27678,14.85326,36.46486,8.479,993.18561,3.92694,0.90608,0,319.53644,0.50995,0.0,0,0,0.0
17.1,13,45,33.258,-81.679,3.35417,0.659,14.72106,37.47058,0.28886,993.28015,4.00001,0.92126,0,202.21458,1.74831,0.0,0,0,0.0
17.1,40,58,33.271,-81.652,3.36677,0.39028,14.7774,37.05476,0.41396,994.81274,3.96406,0.73863,0,209.61282,1.23029,0.0,0,0,0.0
17.1,55,44,33.257,-81.637,3.72022,0.82898,14.40699,37.62852,10.11347,991.53003,3.94192,0.66702,0,340.57474,0.48133,0.0,0,0,0.0
17.1,56,19,33.232,-81.636,3.41151,0.29206,14.82376,36.92864,-7.81188,994.33667,3.96452,0.95529,0,324.20221,0.39914,0.0,0,0,0.0
17.1,79,56,33.269,-81.613,3.6167,0.04491,14.75328,36.49844,12.86485,991.50806,3.9116,0.95954,0,325.71323,0.94084,0.0,0,0,0.0
17.1,44,9,33.222,-81.648,3.55274,0.71019,14.53705,37.86818,2.82124,992.91925,3.9954,0.73026,0,333.00696,0.69782,0.0,0,0,0.0
17.1,14,31,33.244,-81.678,3.56251,0.92463,14.45746,38.14824,-1.10314,993.25214,4.00257,0.70143,0,215.0168,1.39204,0.0,0,0,0.0
