Time (UTC) , i value , j value , latitude , longitude ," u (west to east wind, m/s) "," v (south to north wind, m/s) ", temperature (C) , relative humidity (%) , vertical velocity (cm/s) , pressure (mb) , water vapor  (g/kg) , turbulent kinetic energy (m^2/s^2) , precipitation rate (mm/hr), sensible heat flux (W/m^2) , Latent heat flux (W/m^2) , tracer concentration
12.4,38,42,33.255,-81.654,7.23716,-0.98897,8.08643,55.30052,11.63588,993.03986,3.78129,0.00084,0,-5.70257,0.14849,0.0
17.7,9,35,33.248,-81.683,3.77421,1.497,15.46728,35.45854,7.60718,993.35846,3.9744,0.86369,0,348.36661,1.20695,0.0
17.0,7,41,33.254,-81.685,3.3576,0.65105,14.54295,38.08605,8.36765,993.80072,4.01631,0.85108,0,320.2457,0.99159,0.0
16.1,66,34,33.247,-81.626,3.66078,-0.42886,12.4469,43.24204,-2.16743,991.76471,3.97764,0.64042,0,252.90077,0.6726,0.0
13.4,16,63,33.276,-81.676,6.73227,-1.1113,8.14487,55.38473,-14.84155,994.18359,3.79788,0.00055,0,-18.92789,-0.09732,0.0
12.3,27,58,33.271,-81.665,7.19593,-0.7213,8.21272,55.06555,2.76826,995.69232,3.78784,0.00082,0,-11.64933,0.17457,0.0
17.1,35,32,33.245,-81.657,3.69818,0.96393,14.30201,38.18646,-2.54777,991.54193,3.97278,0.70387,0,208.9614,1.65824,0.0
14.4,76,27,33.24,-81.616,5.95674,-1.11769,8.35538,55.55124,8.5012,994.16895,3.86486,0.12029,0,69.93601,0.58406,0.0
12.3,69,58,33.271,-81.623,6.91079,-0.49407,8.04477,55.75393,-0.77133,994.09973,3.79728,0.0022,0,-16.9894,0.38132,0.0
16.1,26,13,33.226,-81.666,3.47876,-0.33206,12.45648,44.2119,2.16824,992.67554,4.06567,0.60972,0,251.1293,21.78052,0.0
12.4,47,67,33.28,-81.645,7.3811,-0.96381,8.27899,54.1795,2.06284,992.36218,3.7566,0.00051,0,-10.19768,0.20946,0.0
16.4,42,41,33.254,-81.65,3.78872,-0.0856,13.03354,41.61409,4.01644,991.60803,3.9809,0.55648,0,171.16202,0.82973,0.0
14.4,24,27,33.24,-81.668,5.64023,-0.88773,8.215,56.52396,1.90945,994.76404,3.89244,0.06573,0,44.58405,0.018,0.0
12.1,63,13,33.226,-81.629,7.28292,-1.23846,8.35331,54.36044,21.28045,993.83386,3.78276,0.00122,0,-43.40086,0.42106,0.0
13.8,39,11,33.224,-81.653,6.87677,-1.76667,8.18896,55.24778,8.7903,993.29614,3.80343,0.00097,0,68.07481,-0.65902,0.0
16.5,20,54,33.267,-81.672,3.23516,0.04356,13.6943,40.33438,3.79722,994.42908,4.0195,0.8635,0,293.1348,0.74483,0.0
14.4,60,57,33.27,-81.632,5.48194,-0.47892,8.33361,55.89028,-5.01073,994.31384,3.88206,0.06055,0,75.75737,-0.0674,0.0
16.2,67,7,33.22,-81.625,3.51477,-0.07962,12.95389,42.12082,6.07052,992.90143,4.00281,0.80886,0,260.18451,0.69082,0.0
14.1,54,30,33.243,-81.638,6.61784,-1.44201,8.19799,55.46173,0.7644,993.31183,3.82046,0.00274,0,20.10553,-0.03814,0.0
15.3,5,45,33.258,-81.687,2.80951,-0.09709,10.75482,49.61776,-1.20637,995.67236,4.05827,0.55963,0,165.58501,-0.48659,0.0
17.0,52,29,33.242,-81.64,3.63752,0.39353,14.28428,38.12285,-4.44155,992.23889,3.95871,0.77263,0,210.54872,0.97884,0.0
15.2,64,57,33.27,-81.628,3.20205,-0.16308,10.34486,49.61248,-3.88953,993.89056,3.95413,0.40599,0,156.20888,-0.0148,0.0
15.2,66,28,33.241,-81.626,3.4374,-0.36895,10.17457,50.43348,1.32088,992.71222,3.97824,0.49798,0,164.37941,-1.11443,0.0
15.2,6,61,33.274,-81.686,3.33001,-0.25318,10.14775,51.28216,-2.76711,993.0719,4.03637,0.4924,0,170.74049,-1.40258,0.0
13.6,72,17,33.23,-81.62,6.63251,-1.43771,8.0418,56.05215,7.00011,994.5293,3.81515,0.01852,0,-12.26228,0.13581,0.0
15.2,9,28,33.241,-81.683,3.41852,-0.25129,10.02608,52.08376,0.59137,993.90607,4.06232,0.32841,0,83.7453,-0.86005,0.0
18.0,57,29,33.242,-81.635,4.17381,0.80579,15.76653,34.25824,-3.23558,992.68365,3.91825,0.99133,0,353.91312,0.85644,0.0
14.8,31,65,33.278,-81.661,4.47014,-0.21346,9.22178,53.25089,4.27995,993.85822,3.9324,0.24223,0,24.66047,0.26982,0.0
16.1,79,51,33.264,-81.613,3.66888,-0.51048,12.70728,42.23654,9.23777,991.60785,3.95376,0.78827,0,251.97122,0.40234,0.0
13.8,45,60,33.273,-81.647,5.97488,-0.69186,7.79959,57.58122,8.436,995.75281,3.84958,0.00741,0,-0.2517,-0.0294,0.0
15.0,10,14,33.227,-81.682,3.77631,-0.31104,9.50867,53.68771,-1.94534,993.92871,4.04266,0.3666,0,50.09224,30.54268,0.0
14.7,65,68,33.281,-81.627,5.82906,-0.46579,8.76154,54.18993,-0.7666,992.34882,3.8838,0.06236,0,121.25748,-0.04066,0.0
12.6,51,58,33.271,-81.641,6.53971,-0.47353,7.77937,57.17834,3.52556,994.79895,3.82102,0.00646,0,-13.8218,0.11502,0.0
16.8,4,9,33.222,-81.688,3.23047,0.39298,13.97268,39.91953,0.39419,993.38422,4.05628,0.82099,0,266.86414,53.88602,0.0
13.7,38,36,33.249,-81.654,6.83381,-1.36877,8.17067,55.16679,4.92941,992.74097,3.79522,0.00096,0,-2.27745,0.06318,0.0
14.4,63,19,33.232,-81.629,5.24308,-0.8014,8.27981,56.45076,6.16406,995.8573,3.90041,0.19435,0,37.54171,3.50412,0.0
16.1,62,9,33.222,-81.63,3.37418,-0.14369,12.79487,42.69069,6.57731,993.59961,4.01145,0.79046,0,257.28641,0.68888,0.0
17.4,44,53,33.266,-81.648,3.61495,1.00514,15.09463,36.07328,1.38758,992.91132,3.9478,0.75447,0,232.73354,2.03276,0.0
13.4,35,25,33.238,-81.657,6.99604,-1.40201,8.08377,55.49208,2.73308,993.13776,3.79331,0.00052,0,-7.53862,0.12763,0.0
15.2,61,23,33.236,-81.631,3.27913,-0.36457,10.30725,50.24514,1.17443,993.95044,3.99412,0.57096,0,161.66315,-1.37737,0.0
15.0,71,56,33.269,-81.621,3.82568,-0.25006,9.70775,51.54034,2.84595,993.50745,3.93557,0.38514,0,131.6674,-0.00322,0.0
12.3,9,14,33.227,-81.683,7.03119,-1.26039,8.20291,54.94491,1.28342,994.09686,3.78312,0.0005,0,-8.25329,1.23273,0.0
17.9,16,25,33.238,-81.676,4.0065,1.60461,15.71544,34.84214,-1.4921,994.20636,3.96559,0.87647,0,248.81883,4.44671,0.0
17.6,79,11,33.224,-81.613,3.84046,1.73142,15.29982,35.3611,-0.5232,991.64606,3.92723,1.03112,0,363.01373,0.78035,0.0
12.0,7,63,33.276,-81.685,6.72242,-0.62554,7.94318,56.1729,0.38964,992.94556,3.80361,0.0006,0,-38.25903,0.41976,0.0
14.3,38,42,33.255,-81.654,6.2026,-0.98993,8.33927,55.42508,2.5609,993.2113,3.85557,0.02867,0,-1.67327,0.26813,0.0
17.3,12,60,33.273,-81.68,3.37837,0.61814,15.0053,36.73566,0.16943,993.03253,3.99634,0.98084,0,330.54184,1.04349,0.0
13.7,37,26,33.239,-81.655,6.82091,-1.38458,8.10019,55.57386,3.22472,992.91412,3.80406,0.0005,0,-4.40873,0.0996,0.0
12.6,39,4,33.217,-81.653,7.46885,-1.69247,8.27256,54.52636,-3.07509,994.01965,3.77261,0.00101,0,-13.14687,0.34374,0.0
13.5,46,50,33.263,-81.646,6.67998,-1.03727,8.12566,55.36044,3.26883,993.29968,3.7946,0.00083,0,2.51939,0.12269,0.0
12.5,47,11,33.224,-81.645,7.27851,-1.55172,8.14493,55.272,-9.79569,994.26776,3.78984,0.00212,0,-1.49547,-0.10629,0.0
14.4,31,7,33.22,-81.661,5.76294,-1.23932,8.43377,55.49761,-0.66851,994.367,3.88118,0.11328,0,-3.2916,1.34308,0.0
15.1,47,43,33.256,-81.645,3.1833,-0.15013,9.74943,51.84098,1.69396,992.18445,3.97512,0.23863,0,63.42399,0.08842,0.0
12.5,67,32,33.245,-81.625,7.3755,-1.40518,8.24334,54.51867,-0.71175,992.53973,3.77019,0.00075,0,-6.03167,0.19123,0.0
12.8,66,68,33.281,-81.626,7.20679,-0.98893,8.17129,54.71707,2.27705,992.50482,3.76536,0.00202,0,-29.98201,0.36274,0.0
14.7,40,38,33.251,-81.652,4.67041,-0.48394,8.74387,54.94944,3.38543,992.91284,3.93122,0.14094,0,4.90556,1.73787,0.0
17.0,14,54,33.267,-81.678,3.14082,0.4552,14.73785,37.55558,-0.63367,995.02826,4.00635,0.93844,0,315.39694,1.04647,0.0
14.5,59,40,33.253,-81.633,5.9453,-1.09536,8.45536,55.18981,-2.32569,992.44897,3.87293,0.03415,0,102.289,-0.05744,0.0
15.7,55,21,33.234,-81.637,3.28894,-0.41808,11.7226,46.00284,-1.8956,993.83252,4.0231,0.67826,0,206.81021,0.63106,0.0
13.4,34,36,33.249,-81.658,7.11752,-1.46838,8.30585,54.32412,7.95975,992.68451,3.77234,0.00073,0,-8.38426,0.11023,0.0
13.9,50,18,33.231,-81.642,6.76971,-1.49704,8.23732,55.26304,-15.49126,994.00171,3.8144,0.00361,0,-0.00028,-3e-05,0.0
12.3,19,51,33.264,-81.673,6.85731,-0.73894,8.05965,55.87222,3.67672,995.83319,3.80253,0.00067,0,-42.01684,0.40413,0.0
13.9,64,66,33.279,-81.628,6.51682,-0.96836,8.07571,55.78819,5.55796,992.8551,3.81254,0.00441,0,58.16885,-0.10975,0.0
16.3,27,19,33.232,-81.665,3.79483,-0.16761,12.8695,42.75025,1.2041,992.99451,4.03952,0.54143,0,176.25996,1.13348,0.0
14.0,23,59,33.272,-81.669,6.20848,-0.83648,8.24252,55.83226,-5.91906,996.26648,3.84621,0.01013,0,-1.1108,0.01754,0.0
12.9,35,19,33.232,-81.657,7.10994,-1.43686,8.04457,55.56792,-0.76703,993.03577,3.78866,0.00067,0,-27.14815,0.40053,0.0
16.0,20,6,33.219,-81.672,3.3395,-0.29662,12.36211,44.6509,-3.9074,994.57587,4.07237,0.60336,0,121.36713,42.08763,0.0
15.7,42,13,33.226,-81.65,3.65948,-0.48919,11.49975,46.91735,2.06258,992.35504,4.04832,0.54074,0,216.33005,0.63835,0.0
16.8,70,34,33.247,-81.622,3.78895,0.10709,14.03011,38.53532,-7.96598,992.3432,3.93467,0.84982,0,310.45938,1.5781,0.0
16.6,44,10,33.223,-81.648,3.5495,0.02517,13.6702,40.26525,1.98428,992.91052,4.01244,0.70142,0,295.42999,0.76685,0.0
16.5,44,28,33.241,-81.648,3.88307,0.00764,13.27594,41.02301,2.96052,991.57001,3.98813,0.63901,0,291.28113,0.43552,0.0
16.4,13,67,33.28,-81.679,3.60529,-0.17544,13.03512,42.27059,-4.72948,991.91608,4.04284,0.71939,0,159.87897,0.9168,0.0
17.0,75,9,33.222,-81.617,3.71604,0.52498,14.48035,37.4809,6.18977,991.53003,3.94543,0.9377,0,322.20749,0.73659,0.0
17.6,14,61,33.274,-81.678,3.49194,0.96213,15.48706,35.42564,0.03126,993.11774,3.97682,1.04686,0,341.43338,1.03437,0.0
16.7,64,12,33.225,-81.628,3.60611,0.08385,14.07921,38.83333,11.30738,992.87335,3.97579,0.94061,0,306.03027,1.03776,0.0
16.5,71,13,33.226,-81.621,3.62776,-0.16998,13.6383,39.90036,5.17271,992.11664,3.97093,0.9106,0,288.85373,1.26875,0.0
15.0,51,40,33.253,-81.641,3.48078,-0.26718,9.29717,53.34361,-0.89233,992.23602,3.96611,0.18093,0,51.69714,0.37545,0.0
13.8,50,63,33.276,-81.642,6.63293,-1.01115,8.08822,55.64936,2.90978,992.99634,3.80575,0.00171,0,-3.4242,0.05392,0.0
15.4,73,8,33.221,-81.619,3.21533,-0.20646,10.90148,48.18809,2.41531,992.00836,3.99539,0.65202,0,165.81834,-0.92556,0.0
14.5,65,56,33.269,-81.627,5.29036,-0.46822,8.47551,55.48367,-1.39876,994.23773,3.89185,0.08347,0,81.41775,0.1881,0.0
16.5,11,57,33.27,-81.681,3.24411,-0.04007,13.58866,40.7365,-1.8402,993.81866,4.03381,0.82977,0,282.98453,0.94039,0.0
18.0,70,35,33.248,-81.622,4.35748,1.08438,15.61769,34.24603,-19.56731,992.32635,3.88046,1.08372,0,364.25839,1.42975,0.0
16.5,63,56,33.269,-81.629,3.63405,-0.44889,13.64563,39.80648,4.99333,993.25757,3.95889,0.74588,0,282.64972,0.96283,0.0
12.4,31,34,33.247,-81.661,7.56908,-1.32334,8.41541,53.64111,5.11895,992.35309,3.75431,0.00053,0,-15.47491,0.29148,0.0
12.6,62,62,33.275,-81.63,6.95187,-0.67884,8.05003,55.57435,-3.50832,993.80188,3.78757,0.00313,0,-19.30031,0.16621,0.0
